PERSON_ID,DISPLAY_FIRST_LAST,FROM_YEAR,TEAM_ID,TEAM_NAME,HEIGHT,WEIGHT
1627362,Briante Weber,2015,1610612745,Rockets,6-2,165
1626202,Joe Young,2015,1610612754,Pacers,6-2,185
1626145,Tyus Jones,2015,1610612763,Grizzlies,6-0,196
1627790,Ante Zizic,2017,1610612739,Cavaliers,6-10,266
1628395,Jordan Bell,2017,0,,6-7,216
1628366,Lonzo Ball,2017,1610612741,Bulls,6-6,190
1628463,Tyler Cavanaugh,2017,1610612737,Hawks,6-9,238
1628380,Zach Collins,2017,1610612759,Spurs,6-11,250
1628382,Justin Jackson,2017,0,,6-8,220
203966,Jamil Wilson,2017,0,,6-7,229
203584,Troy Daniels,2013,1610612756,Suns,6-4,200
202722,Davis Bertans,2016,1610612742,Mavericks,6-10,225
1628404,Josh Hart,2017,1610612757,Trail Blazers,6-5,215
203505,Vander Blue,2013,0,,6-5,200
1627820,Tyrone Wallace,2017,0,,6-5,198
202779,Dwight Buycks,2013,1610612765,Pistons,6-3,190
1628398,Kyle Kuzma,2017,1610612764,Wizards,6-9,221
1628379,Luke Kennard,2017,1610612746,Clippers,6-5,206
1627936,Alex Caruso,2017,1610612741,Bulls,6-5,186
203920,Khem Birch,2017,1610612761,Raptors,6-9,233
1628415,Dillon Brooks,2017,1610612763,Grizzlies,6-7,225
1627988,Myke Henry,2017,1610612763,Grizzlies,6-6,210
1628411,Wes Iwundu,2017,0,,6-6,195
1628416,Tyler Dorsey,2017,1610612737,Hawks,6-5,183
1627853,Ryan Arcidiacono,2017,1610612741,Bulls,6-3,195
1627733,Dragan Bender,2016,0,,7-0,249
203121,Darius Miller,2012,0,,6-6,225
1628424,Kobi Simmons,2017,1610612763,Grizzlies,6-5,180
1627858,Kyle Collinsworth,2017,1610612742,Mavericks,6-6,210
1628409,Alec Peters,2017,1610612756,Suns,6-9,235
2731,Emeka Okafor,2004,1610612766,Bobcats,6-10,255
1628436,Luke Kornet,2017,1610612738,Celtics,7-2,250
1627846,Abdel Nader,2017,0,,6-5,225
1626188,Quinn Cook,2016,0,,6-1,180
203992,Bogdan Bogdanovic,2017,1610612737,Hawks,6-6,225
1628405,Johnathan Motley,2017,1610612746,Clippers,6-8,230
1627824,Guerschon Yabusele,2016,1610612738,Celtics,6-8,260
1628397,Ivan Rabb,2017,1610612763,Grizzlies,6-10,220
1628439,Isaiah Hicks,2017,1610612752,Knicks,6-9,230
1627863,Danuel House Jr.,2016,1610612762,Jazz,6-6,220
1627753,Zhou Qi,2017,0,,7-1,210
202705,MarShon Brooks,2011,0,,6-5,200
1629028,Deandre Ayton,2018,1610612756,Suns,6-11,250
1628991,Jaren Jackson Jr.,2018,1610612763,Grizzlies,6-11,242
1628976,Wendell Carter Jr.,2018,1610612753,Magic,6-10,270
1628990,Chandler Hutchison,2018,1610612764,Wizards,6-6,210
1629012,Collin Sexton,2018,1610612739,Cavaliers,6-1,190
1629011,Mitchell Robinson,2018,1610612752,Knicks,7-0,240
1628970,Miles Bridges,2018,1610612766,Hornets,6-7,225
1628412,Frank Mason III,2017,0,,5-11,190
1628964,Mo Bamba,2018,1610612753,Magic,7-0,231
1629121,Jaylen Adams,2018,0,,6-0,225
1628963,Marvin Bagley III,2018,1610612765,Pistons,6-11,235
1629006,Josh Okogie,2018,1610612750,Timberwolves,6-4,213
1628392,Isaiah Hartenstein,2018,1610612746,Clippers,7-0,250
1627774,Jake Layman,2016,1610612750,Timberwolves,6-8,209
1628390,Terrance Ferguson,2017,0,,6-6,190
1627885,Shaquille Harrison,2017,0,,6-4,195
1628035,Alfonzo McKinnie,2017,0,,6-7,215
1629013,Landry Shamet,2018,1610612756,Suns,6-4,190
1628969,Mikal Bridges,2018,1610612756,Suns,6-6,209
1628989,Kevin Huerter,2018,1610612737,Hawks,6-7,198
1629029,Luka Doncic,2018,1610612742,Mavericks,6-7,230
1628515,Isaiah Briscoe,2018,0,,6-3,215
1627823,Juancho Hernangomez,2016,1610612762,Jazz,6-9,214
1629002,Chimezie Metu,2018,1610612758,Kings,6-9,225
1628418,Thomas Bryant,2017,1610612764,Wizards,6-10,248
1629109,Gary Clark,2018,1610612740,Pelicans,6-6,225
1629019,Allonzo Trier,2018,0,,6-4,200
1628978,Donte DiVincenzo,2018,1610612758,Kings,6-4,203
1628421,Devin Robinson,2017,1610612764,Wizards,6-8,200
1628995,Kevin Knox II,2018,1610612737,Hawks,6-7,215
1628422,Damyean Dotson,2017,0,,6-5,210
1626224,Cedi Osman,2017,1610612739,Cavaliers,6-7,230
1628462,Milos Teodosic,2017,0,,6-5,196
201565,Derrick Rose,2008,1610612752,Knicks,6-2,200
1629151,Ryan Broekhoff,2018,1610612742,Mavericks,6-6,215
1628988,Aaron Holiday,2018,1610612756,Suns,6-0,185
1629057,Robert Williams III,2018,1610612738,Celtics,6-9,237
1628420,Monte Morris,2017,1610612743,Nuggets,6-2,183
1628470,Torrey Craig,2017,1610612756,Suns,6-7,221
1629001,De'Anthony Melton,2018,1610612763,Grizzlies,6-2,200
1628413,Jonah Bolden,2018,0,,6-8,225
1629021,Moritz Wagner,2018,1610612753,Magic,6-11,245
1628385,Harry Giles III,2017,1610612758,Kings,6-11,240
1627736,Malik Beasley,2016,1610612750,Timberwolves,6-4,187
1626166,Cameron Payne,2015,1610612756,Suns,6-1,183
1629016,Omari Spellman,2018,1610612744,Warriors,6-8,245
1628975,Jevon Carter,2018,0,,6-1,200
1626220,Royce O'Neale,2017,1610612762,Jazz,6-5,226
1628402,Frank Jackson,2017,1610612765,Pistons,6-3,205
1629026,Kenrich Williams,2018,1610612760,Thunder,6-6,210
1627780,Gary Payton II,2016,1610612744,Warriors,6-3,195
203998,Bruno Caboclo,2014,0,,6-9,218
1627854,Bryn Forbes,2016,1610612743,Nuggets,6-2,205
1629066,Rodions Kurucs,2018,0,,6-9,228
1629003,Shake Milton,2018,1610612755,76ers,6-5,205
1627395,Julian Washburn,2018,1610612763,Grizzlies,6-8,209
1628249,Mitchell Creek,2018,1610612751,Nets,6-6,225
1628977,Hamidou Diallo,2018,1610612765,Pistons,6-5,202
1629139,Yuta Watanabe,2018,1610612761,Raptors,6-9,215
1628983,Shai Gilgeous-Alexander,2018,1610612760,Thunder,6-6,180
1628391,D.J. Wilson,2017,0,,6-10,231
1628971,Bruce Brown,2018,1610612751,Nets,6-4,202
1628469,Antonio Blakeney,2017,1610612741,Bulls,6-4,192
1628021,David Nwaba,2016,1610612745,Rockets,6-5,219
1629234,Drew Eubanks,2018,1610612757,Trail Blazers,6-9,245
1628410,Edmond Sumner,2017,1610612754,Pacers,6-4,196
1629118,Thomas Welsh,2018,1610612743,Nuggets,7-0,255
1629140,Johnathan Williams,2018,1610612747,Lakers,6-9,228
1628984,Devonte' Graham,2018,1610612740,Pelicans,6-1,195
1628966,Keita Bates-Diop,2018,1610612759,Spurs,6-8,229
1629027,Trae Young,2018,1610612737,Hawks,6-1,164
202690,Jimmer Fredette,2011,1610612758,Kings,6-2,195
